"","V1","V2","V3","V4","V5","V6"
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",1000,423,0,467,0,0
"2015",1000,1000,234,1000,680,0
"2016",1000,1000,999,998,100,0
"2017",1000,977,0,1000,1000,0
"2018",1000,1000,983,1000,1000,167
"2019",1000,1000,1000,1000,997,412
"2020",1000,1000,1000,1000,1000,567
