"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2015",8,0,0,1000,995,0,999,7,0
"2016",1000,457,0,1000,858,116,1000,960,431
"2017",1000,0,0,988,675,0,999,32,0
"2018",1000,989,0,1000,1000,850,999,995,109
"2019",1000,0,0,1000,925,0,994,823,0
"2020",1000,1000,1000,1000,1000,1000,1000,1000,999
