"","V1","V2","V3","V4","V5","V6"
"2015",0,0,0,0,0,0
"2016",1000,31,0,1000,171,0
"2017",0,0,0,0,0,0
"2018",0,0,0,430,0,0
"2019",994,0,0,962,0,0
"2020",993,0,0,1000,1000,1000
