"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2012",0,0,0,0,0,0,0,0,0
"2013",0,0,0,0,0,0,0,0,0
"2014",0,0,0,905,0,0,0,0,0
"2015",1000,0,0,945,145,0,992,0,0
"2016",0,0,0,1000,835,0,987,255,0
"2017",0,0,0,966,0,0,0,0,0
"2018",200,0,0,998,570,0,0,0,0
"2019",0,0,0,999,0,0,634,24,0
"2020",1000,1000,999,1000,1000,1000,977,586,92
