"","V1","V2","V3","V4","V5","V6"
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",999,71,0,92,0,0
"2015",1000,819,0,1000,533,0
"2016",1000,1000,867,961,0,0
"2017",1000,829,0,1000,992,0
"2018",1000,1000,908,1000,998,21
"2019",1000,1000,1000,1000,954,145
"2020",1000,1000,1000,1000,1000,549
