"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2012",0,0,0,0,0,0,0,0,0
"2013",0,0,0,1000,272,0,998,0,0
"2014",1000,1000,1000,1000,843,0,0,0,0
"2015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,NA,NA,NA,NA,NA
