"","V1","V2","V3","V4","V5","V6"
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",1000,0,0,845,0,0
"2015",992,0,0,871,0,0
"2016",1000,1000,989,1000,669,0
"2017",1000,959,0,1000,753,0
"2018",1000,1000,1000,1000,1000,241
"2019",1000,997,290,1000,858,0
"2020",1000,1000,1000,1000,1000,1000
