"","V1","V2","V3","V4","V5","V6"
"2012",860,0,0,26,0,0
"2013",1000,1000,1000,1000,1000,1000
"2014",1000,1000,1000,1000,1000,1000
"2015",NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,NA,NA
